codigo,factor_ocupacion,consumo_conexion_m3_mes,dotacion_lpd
MEA01,3.042716135,13.36122632,316.8801788
MEA02,3.084422408,12.19864759,171.8391521
MEA03,3.061025908,11.70630777,1087.87293
MEA04,3.073740681,13.9954405,373.826126
MEA05,2.910376929,19.50261785,614.1719374
MEA06,3.218635365,14.70573068,607.5376747
MEA07,3.048606513,16.49897618,564.0221903
MEA08,3.13883038,13.51411199,275.3069281
MEA09,3.375945858,16.19001757,591.60731
MEA10,3.091012263,15.04507896,285.9402083
MEA11,3.236078424,14.78300038,243.3101717
MEA12,2.909636034,15.61011165,282.0457422
MEA13,3.087715471,16.31621493,324.7610936
MEA14,3.120168489,16.47042426,324.6594579
MEA15,2.953112834,16.13443756,412.8844111
MEA16,3.056431529,23.22845929,448.1099217
MEA17,3.088194985,12.38887566,362.6197633
MEA18,3.460902546,17.33333333,451.200674
MEA19,3.157484685,15.85874952,486.5812247
MEA20,3.222223793,16.17998657,327.5697159
MEA21,3.164409023,15.6093042,423.3313347
MEA22,2.917020633,16.33911939,381.3323066
MEA24,2.854001706,9.893947609,364.860338
MEA25,2.929336298,9.589756077,514.2678569
MEA26,3.053287431,13.81305717,289.9583351
MEA27,3.166907826,15.49142037,231.9660297
MEA28,3.246822765,14.52000292,448.0501226
MEA29,2.913331644,16.69991289,682.4093894
MEA30,3.319426336,15.2,367.7995564
MEA31,2.922685559,14.9109623,347.1140876
